teamIdHome,teamIdAway,home_team_position,away_team_position,matchweek,homeGF,homeGA,awayGF,awayGA,homeLast1,homeLast2,homeLast3,homeLast4,homeLast5,awayLast1,awayLast2,awayLast3,awayLast4,awayLast5,o35
13,11,12,13,22,18,20,22,36,0,1,0,0.5,1,0,0,0.5,0,1,0
4,10,8,20,22,36,22,20,31,0,0.5,0.5,1,1,0,0.5,0,0,0,0
6,12,18,9,23,31,31,23,28,0,1,0.5,0,0.5,0.5,0,0,1,0,0
1,8,3,17,23,42,27,27,30,1,0.5,1,0.5,1,0.5,0.5,0,0,0,0
3,4,2,8,23,49,30,37,24,1,1,1,0,1,0,0.5,0.5,1,1,0
10,9,20,19,23,22,32,37,24,0,0.5,0,0,0,0.5,0,0,0.5,0,1
20,2,10,1,23,37,27,30,31,1,0,0,1,0,0.5,1,0,1,1,1
16,13,15,12,23,21,34,18,21,0,0.5,0,0,1,0,1,0,0.5,1,1
11,7,13,11,23,23,36,29,31,0,0,0.5,0,1,1,0,1,0,0,0
14,5,4,7,23,25,34,16,22,0,0,1,1,1,0.5,1,0.5,1,0.5,0
15,17,14,16,23,24,26,37,37,0.5,1,0.5,0.5,0,0.5,1,0.5,0,0,1
19,18,6,5,23,23,26,31,31,1,1,0,1,1,0,1,1,1,1,0
9,3,19,2,24,39,28,50,30,0.5,0,0,0.5,0,1,1,1,0,1,0
4,6,8,18,24,37,25,32,31,0,0.5,0.5,1,1,0,1,0.5,0,0.5,0
12,17,9,16,24,23,29,38,40,0.5,0,0,1,0,0.5,1,0.5,0,0,0
5,15,7,14,24,17,24,27,27,0.5,1,0.5,1,0.5,0.5,1,0.5,0.5,0,0
2,11,1,13,24,32,35,24,37,0.5,1,0,1,1,0,0,0.5,0,1,0
8,10,17,20,24,28,32,26,34,0.5,0.5,0,0,0,0,0.5,0,0,0,0
7,16,11,15,24,30,32,23,36,1,0,1,0,0,0,0.5,0,0,1,0
19,1,6,3,24,26,26,44,28,1,1,0,1,1,1,0.5,1,0.5,1,1
18,20,5,10,24,31,34,41,29,0,1,1,1,1,1,0,0,1,0,1
13,14,12,4,24,20,23,27,35,0,1,0,0.5,1,0,0,1,1,1,1
17,4,16,8,25,39,41,37,28,0.5,1,0.5,0,0,0,0.5,0.5,1,1,0
12,5,9,7,25,24,30,17,25,0.5,0,0,1,0,0.5,1,0.5,1,0.5,0
6,9,18,19,25,35,31,39,29,0,1,0.5,0,0.5,0.5,0,0,0.5,0,0
1,18,3,5,25,46,30,34,36,1,0.5,1,0.5,1,0,1,1,1,1,1
15,13,14,12,25,28,27,21,26,0.5,1,0.5,0.5,0,0,1,0,0.5,1,1
14,7,4,11,25,30,36,31,33,0,0,1,1,1,1,0,1,0,0,0
3,8,2,17,25,51,30,28,32,1,1,1,0,1,0.5,0.5,0,0,0,0
11,20,13,10,25,25,39,43,32,0,0,0.5,0,1,1,0,0,1,0,1
10,19,20,6,25,26,34,28,28,0,0.5,0,0,0,1,1,0,1,1,0
16,2,15,1,25,24,37,34,36,0,0.5,0,0,1,0.5,1,0,1,1,0
9,17,19,16,26,41,29,39,43,0.5,0,0,0.5,0,0.5,1,0.5,0,0,1
4,5,8,7,26,39,28,18,25,0,0.5,0.5,1,1,0.5,1,0.5,1,0.5,0
8,6,17,18,26,28,32,35,33,0.5,0.5,0,0,0,0,1,0.5,0,0.5,0
13,12,12,9,26,22,29,24,31,0,1,0,0.5,1,0.5,0,0,1,0,0
7,15,11,14,26,33,34,31,28,1,0,1,0,0,0.5,1,0.5,0.5,0,0
1,10,3,20,26,48,32,27,34,1,0.5,1,0.5,1,0,0.5,0,0,0,0
18,11,5,13,26,36,38,28,42,0,1,1,1,1,0,0,0.5,0,1,0
20,16,10,15,26,46,35,24,40,1,0,0,1,0,0,0.5,0,0,1,0
2,14,1,4,26,37,36,31,38,0.5,1,0,1,1,0,0,1,1,1,0
19,3,6,2,26,28,29,51,30,1,1,0,1,1,1,1,1,0,1,0
3,1,2,3,27,51,30,48,32,1,1,1,0,1,1,0.5,1,0.5,1,1
5,9,7,19,27,18,27,44,31,0.5,1,0.5,1,0.5,0.5,0,0,0.5,0,0
4,13,8,12,27,41,28,22,31,0,0.5,0.5,1,1,0,1,0,0.5,1,0
12,7,9,11,27,26,31,33,34,0.5,0,0,1,0,1,0,1,0,0,0
16,11,15,13,27,26,41,28,42,0,0.5,0,0,1,0,0,0.5,0,1,0
10,18,20,5,27,27,34,36,38,0,0.5,0,0,0,0,1,1,1,1,0
15,2,14,1,27,31,28,39,37,0.5,1,0.5,0.5,0,0.5,1,0,1,1,0
14,20,4,10,27,32,40,47,37,0,0,1,1,1,1,0,0,1,0,0
17,8,16,17,27,41,46,29,32,0.5,1,0.5,0,0,0.5,0.5,0,0,0,0
6,19,18,6,27,35,34,28,29,0,1,0.5,0,0.5,1,1,0,1,1,0
2,12,1,9,28,39,39,28,32,0.5,1,0,1,1,0.5,0,0,1,0,0
1,6,3,18,28,51,33,35,34,1,0.5,1,0.5,1,0,1,0.5,0,0.5,0
9,13,19,12,28,45,32,22,33,0.5,0,0,0.5,0,0,1,0,0.5,1,0
18,16,5,15,28,37,40,27,43,0,1,1,1,1,0,0.5,0,0,1,0
20,15,10,14,28,49,38,33,28,1,0,0,1,0,0.5,1,0.5,0.5,0,0
8,5,17,7,28,32,32,19,28,0.5,0.5,0,0,0,0.5,1,0.5,1,0.5,0
11,14,13,4,28,30,43,33,42,0,0,0.5,0,1,0,0,1,1,1,0
19,17,6,16,28,28,29,41,49,1,1,0,1,1,0.5,1,0.5,0,0,0
10,3,20,2,28,29,35,52,33,0,0.5,0,0,0,1,1,1,0,1,1
7,4,11,8,28,34,36,43,28,1,0,1,0,0,0,0.5,0.5,1,1,1
6,10,18,20,29,37,35,31,37,0,1,0.5,0,0.5,0,0.5,0,0,0,0
